transaction_id,date,timestamp,store_id,customer_id,product_id,category,quantity,unit_price,total_amount,discount_percent,final_amount,payment_method
T000050,2024-01-02,2024-01-02 13:14:41,STORE_07,CUST_0259,P049,Sports,3,143.87,431.61,0.0,431.61,Credit Card
T000051,2024-01-02,2024-01-02 11:08:30,STORE_01,CUST_0773,P050,Clothing,1,180.81,180.81,0.0,180.81,Credit Card
T000052,2024-01-02,2024-01-02 19:45:07,STORE_04,CUST_0477,P037,Groceries,1,44.64,44.64,0.0,44.64,Debit Card
T000053,2024-01-02,2024-01-02 14:25:45,STORE_02,CUST_0593,P020,Home & Garden,3,60.68,182.04,0.0,182.04,Debit Card
T000054,2024-01-02,2024-01-02 21:43:38,STORE_10,CUST_0708,P005,Home & Garden,3,47.91,143.73,0.0,143.73,Credit Card
T000055,2024-01-02,2024-01-02 13:00:54,STORE_01,CUST_0356,P037,Groceries,1,43.21,43.21,0.0,43.21,Mobile Pay
T000056,2024-01-02,2024-01-02 14:11:46,STORE_02,CUST_0444,P032,Electronics,2,1373.22,2746.44,0.0,2746.44,Cash
T000057,2024-01-02,2024-01-02 13:54:15,STORE_09,CUST_0794,P040,Home & Garden,3,155.33,465.99,0.0,465.99,Credit Card
T000058,2024-01-02,2024-01-02 08:31:54,STORE_08,CUST_0250,P018,Electronics,3,1560.96,4682.88,0.0,4682.88,Cash
T000059,2024-01-02,2024-01-02 19:56:17,STORE_08,CUST_0218,P012,Clothing,2,141.44,282.88,0.0,282.88,Credit Card
T000060,2024-01-02,2024-01-02 19:30:41,STORE_04,CUST_0088,P034,Clothing,3,46.85,140.55,0.0,140.55,Mobile Pay
T000061,2024-01-02,2024-01-02 17:23:30,STORE_01,CUST_0096,P029,Groceries,1,11.81,11.81,0.0,11.81,Cash
T000062,2024-01-02,2024-01-02 09:46:12,STORE_09,CUST_0339,P028,Home & Garden,2,319.03,638.06,0.0,638.06,Cash
T000063,2024-01-02,2024-01-02 12:46:37,STORE_09,CUST_0974,P008,Sports,1,83.86,83.86,0.0,83.86,Cash
T000064,2024-01-02,2024-01-02 10:17:02,STORE_04,CUST_0304,P007,Sports,1,180.17,180.17,0.0,180.17,Credit Card
T000065,2024-01-02,2024-01-02 08:36:18,STORE_05,CUST_0715,P036,Sports,2,92.97,185.94,0.0,185.94,Mobile Pay
T000066,2024-01-02,2024-01-02 09:25:31,STORE_08,CUST_0349,P031,Groceries,2,34.27,68.54,0.0,68.54,Credit Card
T000067,2024-01-02,2024-01-02 16:48:26,STORE_01,CUST_0156,P037,Groceries,2,39.92,79.84,8.72,72.88,Debit Card
T000068,2024-01-02,2024-01-02 12:36:39,STORE_09,CUST_0390,P050,Clothing,3,197.55,592.65,0.0,592.65,Credit Card
T000069,2024-01-02,2024-01-02 10:15:11,STORE_02,CUST_0971,P040,Home & Garden,2,164.03,328.06,0.0,328.06,Credit Card
T000070,2024-01-02,2024-01-02 12:44:55,STORE_01,CUST_0419,P011,Electronics,2,1526.47,3052.94,9.32,2768.36,Mobile Pay
T000071,2024-01-02,2024-01-02 22:12:27,STORE_04,CUST_0947,P005,Home & Garden,3,42.82,128.46,0.0,128.46,Credit Card
T000072,2024-01-02,2024-01-02 12:38:47,STORE_04,CUST_0664,P035,Home & Garden,1,145.87,145.87,7.49,134.95,Cash
T000073,2024-01-02,2024-01-02 15:28:05,STORE_02,CUST_0480,P029,Groceries,2,12.78,25.56,0.0,25.56,Credit Card
T000074,2024-01-02,2024-01-02 17:37:01,STORE_06,CUST_0619,P028,Home & Garden,3,312.36,937.08,0.0,937.08,Cash
T000075,2024-01-02,2024-01-02 12:11:37,STORE_01,CUST_0782,P037,Groceries,3,45.13,135.39,0.0,135.39,Mobile Pay
T000076,2024-01-02,2024-01-02 09:54:10,STORE_08,CUST_0993,P041,Clothing,2,169.29,338.58,0.0,338.58,Cash
T000077,2024-01-02,2024-01-02 12:20:07,STORE_08,CUST_0296,P027,Electronics,3,848.98,2546.94,6.32,2385.95,Mobile Pay
T000078,2024-01-02,2024-01-02 13:39:48,STORE_01,CUST_0674,P033,Clothing,1,124.73,124.73,0.0,124.73,Mobile Pay
T000079,2024-01-02,2024-01-02 15:56:44,STORE_08,CUST_0779,P041,Clothing,1,167.83,167.83,0.0,167.83,Mobile Pay
T000080,2024-01-02,2024-01-02 16:00:35,STORE_01,CUST_0997,P008,Sports,3,81.75,245.25,0.0,245.25,Mobile Pay
T000081,2024-01-02,2024-01-02 10:31:59,STORE_04,CUST_0862,P006,Electronics,1,557.98,557.98,0.0,557.98,Cash
T000082,2024-01-02,2024-01-02 10:24:12,STORE_05,CUST_0426,P033,Clothing,5,123.93,619.65,0.0,619.65,Debit Card
T000083,2024-01-02,2024-01-02 08:18:46,STORE_05,CUST_0792,P005,Home & Garden,3,47.55,142.65,0.0,142.65,Cash
T000084,2024-01-02,2024-01-02 13:35:48,STORE_10,CUST_0676,P038,Electronics,3,534.08,1602.24,0.0,1602.24,Mobile Pay
T000085,2024-01-02,2024-01-02 21:49:26,STORE_06,CUST_0891,P030,Groceries,3,13.53,40.59,0.0,40.59,Credit Card
T000086,2024-01-02,2024-01-02 18:09:31,STORE_08,CUST_0723,P021,Groceries,3,45.82,137.46,0.0,137.46,Credit Card
T000087,2024-01-02,2024-01-02 09:33:58,STORE_09,CUST_0989,P009,Sports,10,142.9,1429.0,0.0,1429.0,Mobile Pay
T000088,2024-01-02,2024-01-02 12:21:39,STORE_03,CUST_0420,P001,Electronics,4,158.46,633.84,0.0,633.84,Mobile Pay
T000089,2024-01-02,2024-01-02 13:40:45,STORE_02,CUST_0873,P042,Sports,3,256.88,770.64,0.0,770.64,Mobile Pay
T000090,2024-01-02,2024-01-02 19:05:27,STORE_01,CUST_0633,P035,Home & Garden,2,143.34,286.68,0.0,286.68,Credit Card
T000091,2024-01-02,2024-01-02 12:22:23,STORE_02,CUST_0455,P049,Sports,1,125.84,125.84,16.94,104.52,Mobile Pay
T000092,2024-01-02,2024-01-02 09:39:55,STORE_04,CUST_0544,P010,Home & Garden,1,301.55,301.55,0.0,301.55,Mobile Pay
T000093,2024-01-02,2024-01-02 15:16:42,STORE_04,CUST_0510,P040,Home & Garden,2,168.71,337.42,0.0,337.42,Credit Card
T000094,2024-01-02,2024-01-02 12:40:27,STORE_05,CUST_0694,P030,Groceries,2,14.56,29.12,0.0,29.12,Cash
T000095,2024-01-02,2024-01-02 17:22:36,STORE_05,CUST_0204,P030,Groceries,4,15.87,63.48,0.0,63.48,Cash
T000096,2024-01-02,2024-01-02 20:47:03,STORE_05,CUST_0023,P045,Home & Garden,2,106.44,212.88,17.98,174.61,Mobile Pay
T000097,2024-01-03,2024-01-03 18:48:46,STORE_04,CUST_0622,P019,Sports,1,62.91,62.91,0.0,62.91,Debit Card
T000098,2024-01-03,2024-01-03 10:05:58,STORE_02,CUST_0926,P041,Clothing,2,189.06,378.12,10.47,338.52,Cash
T000099,2024-01-03,2024-01-03 22:17:53,STORE_07,CUST_0180,P021,Groceries,2,39.79,79.58,0.0,79.58,Debit Card
T000100,2024-01-03,2024-01-03 15:04:09,STORE_08,CUST_0991,P017,Groceries,2,34.14,68.28,0.0,68.28,Debit Card
T000101,2024-01-03,2024-01-03 08:16:34,STORE_07,CUST_0991,P044,Home & Garden,1,230.88,230.88,0.0,230.88,Credit Card
T000102,2024-01-03,2024-01-03 13:06:43,STORE_06,CUST_0689,P030,Groceries,2,15.15,30.3,0.0,30.3,Debit Card
T000103,2024-01-03,2024-01-03 09:40:52,STORE_01,CUST_0635,P031,Groceries,3,39.39,118.17,0.0,118.17,Mobile Pay
T000104,2024-01-03,2024-01-03 15:07:06,STORE_05,CUST_0665,P045,Home & Garden,1,95.37,95.37,0.0,95.37,Debit Card
T000105,2024-01-03,2024-01-03 16:26:37,STORE_03,CUST_0398,P035,Home & Garden,3,155.43,466.29,0.0,466.29,Debit Card
T000106,2024-01-03,2024-01-03 15:28:15,STORE_02,CUST_0854,P027,Electronics,2,820.49,1640.98,10.56,1467.73,Cash
T000107,2024-01-03,2024-01-03 11:07:54,STORE_06,CUST_0558,P007,Sports,1,205.87,205.87,0.0,205.87,Mobile Pay
T000108,2024-01-03,2024-01-03 11:08:50,STORE_04,CUST_0658,P006,Electronics,4,529.79,2119.16,0.0,2119.16,Debit Card
T000109,2024-01-03,2024-01-03 10:50:57,STORE_09,CUST_0213,P005,Home & Garden,5,45.72,228.6,0.0,228.6,Credit Card
T000110,2024-01-03,2024-01-03 08:08:00,STORE_03,CUST_0134,P018,Electronics,1,1498.45,1498.45,0.0,1498.45,Cash
T000111,2024-01-03,2024-01-03 16:07:47,STORE_10,CUST_0332,P016,Home & Garden,1,68.15,68.15,0.0,68.15,Credit Card
T000112,2024-01-03,2024-01-03 17:02:46,STORE_08,CUST_0797,P031,Groceries,2,35.57,71.14,0.0,71.14,Cash
T000113,2024-01-03,2024-01-03 15:45:58,STORE_01,CUST_0063,P030,Groceries,7,15.87,111.09,0.0,111.09,Mobile Pay
T000114,2024-01-03,2024-01-03 17:35:45,STORE_02,CUST_0330,P005,Home & Garden,2,45.91,91.82,0.0,91.82,Cash
T000115,2024-01-03,2024-01-03 21:41:41,STORE_10,CUST_0544,P025,Clothing,2,152.62,305.24,15.53,257.85,Debit Card
T000116,2024-01-03,2024-01-03 19:06:20,STORE_08,CUST_0910,P028,Home & Garden,2,310.92,621.84,0.0,621.84,Mobile Pay
T000117,2024-01-03,2024-01-03 09:27:06,STORE_05,CUST_0384,P021,Groceries,2,46.16,92.32,17.48,76.19,Cash
T000118,2024-01-03,2024-01-03 14:22:55,STORE_09,CUST_0062,P009,Sports,2,142.8,285.6,0.0,285.6,Mobile Pay
T000119,2024-01-03,2024-01-03 11:09:42,STORE_01,CUST_0992,P047,Sports,1,165.86,165.86,0.0,165.86,Mobile Pay
T000120,2024-01-03,2024-01-03 20:27:54,STORE_02,CUST_0359,P015,Groceries,2,10.26,20.52,0.0,20.52,Credit Card
T000121,2024-01-03,2024-01-03 13:00:11,STORE_05,CUST_0030,P039,Electronics,2,1525.43,3050.86,0.0,3050.86,Debit Card
T000122,2024-01-03,2024-01-03 14:26:29,STORE_07,CUST_0072,P037,Groceries,1,39.86,39.86,12.96,34.7,Cash
T000123,2024-01-03,2024-01-03 22:03:09,STORE_06,CUST_0320,P011,Electronics,3,1610.06,4830.18,0.0,4830.18,Debit Card
T000124,2024-01-03,2024-01-03 17:28:26,STORE_10,CUST_0051,P049,Sports,3,139.53,418.59,0.0,418.59,Cash
T000125,2024-01-03,2024-01-03 15:33:42,STORE_09,CUST_0117,P014,Clothing,3,186.35,559.05,0.0,559.05,Cash
T000126,2024-01-03,2024-01-03 11:49:08,STORE_04,CUST_0405,P003,Clothing,1,167.34,167.34,0.0,167.34,Cash
T000127,2024-01-03,2024-01-03 16:45:14,STORE_06,CUST_0123,P019,Sports,1,53.49,53.49,0.0,53.49,Cash
T000128,2024-01-03,2024-01-03 21:20:36,STORE_07,CUST_0883,P005,Home & Garden,2,47.12,94.24,0.0,94.24,Mobile Pay
T000129,2024-01-03,2024-01-03 20:39:29,STORE_07,CUST_0727,P037,Groceries,2,44.13,88.26,9.87,79.55,Cash
T000130,2024-01-03,2024-01-03 14:55:19,STORE_07,CUST_0865,P006,Electronics,2,474.78,949.56,0.0,949.56,Cash
T000131,2024-01-03,2024-01-03 11:57:49,STORE_06,CUST_0798,P015,Groceries,1,8.96,8.96,0.0,8.96,Cash
T000132,2024-01-03,2024-01-03 20:48:41,STORE_03,CUST_0242,P023,Groceries,1,28.52,28.52,0.0,28.52,Credit Card
T000133,2024-01-03,2024-01-03 22:36:41,STORE_08,CUST_0476,P012,Clothing,2,153.08,306.16,0.0,306.16,Cash
T000134,2024-01-03,2024-01-03 12:37:03,STORE_06,CUST_0155,P041,Clothing,3,182.14,546.42,0.0,546.42,Cash
T000135,2024-01-03,2024-01-03 09:41:55,STORE_02,CUST_0318,P033,Clothing,2,115.26,230.52,0.0,230.52,Credit Card
T000136,2024-01-03,2024-01-03 15:58:51,STORE_10,CUST_0520,P040,Home & Garden,3,152.24,456.72,0.0,456.72,Debit Card
T000137,2024-01-03,2024-01-03 22:53:21,STORE_10,CUST_0488,P021,Groceries,7,42.33,296.31,0.0,296.31,Credit Card
T000138,2024-01-03,2024-01-03 17:10:23,STORE_03,CUST_0041,P033,Clothing,2,110.29,220.58,0.0,220.58,Cash
T000139,2024-01-03,2024-01-03 18:21:04,STORE_07,CUST_0419,P019,Sports,1,62.59,62.59,0.0,62.59,Cash
T000140,2024-01-03,2024-01-03 17:55:09,STORE_09,CUST_0695,P007,Sports,3,186.24,558.72,0.0,558.72,Cash
T000141,2024-01-03,2024-01-03 14:08:38,STORE_10,CUST_0680,P006,Electronics,3,478.45,1435.35,0.0,1435.35,Credit Card
T000142,2024-01-03,2024-01-03 21:47:43,STORE_09,CUST_0386,P020,Home & Garden,1,68.96,68.96,0.0,68.96,Credit Card
T000143,2024-01-03,2024-01-03 13:49:31,STORE_07,CUST_0521,P042,Sports,1,258.65,258.65,0.0,258.65,Debit Card
T000144,2024-01-03,2024-01-03 16:53:47,STORE_03,CUST_0159,P015,Groceries,4,8.79,35.16,0.0,35.16,Credit Card
T000145,2024-01-03,2024-01-03 10:53:44,STORE_06,CUST_0898,P043,Groceries,2,15.35,30.7,0.0,30.7,Debit Card
T000146,2024-01-03,2024-01-03 17:18:48,STORE_08,CUST_0045,P047,Sports,1,170.13,170.13,0.0,170.13,Mobile Pay
T000147,2024-01-03,2024-01-03 11:23:43,STORE_09,CUST_0245,P015,Groceries,7,9.23,64.61,0.0,64.61,Mobile Pay
T000148,2024-01-03,2024-01-03 20:38:08,STORE_05,CUST_0797,P030,Groceries,1,14.09,14.09,0.0,14.09,Cash
T000149,2024-01-03,2024-01-03 21:07:18,STORE_08,CUST_0896,P004,Sports,9,47.65,428.85,0.0,428.85,Credit Card
T000150,2024-01-03,2024-01-03 21:28:56,STORE_03,CUST_0280,P049,Sports,2,133.47,266.94,18.66,217.14,Cash
T000151,2024-01-03,2024-01-03 13:14:01,STORE_07,CUST_0055,P002,Groceries,2,15.69,31.38,0.0,31.38,Cash
T000152,2024-01-03,2024-01-03 10:48:45,STORE_06,CUST_0811,P007,Sports,2,177.07,354.14,0.0,354.14,Mobile Pay
T000153,2024-01-03,2024-01-03 16:46:38,STORE_10,CUST_0006,P029,Groceries,1,13.32,13.32,0.0,13.32,Mobile Pay
T000154,2024-01-03,2024-01-03 17:29:04,STORE_05,CUST_0244,P008,Sports,2,76.51,153.02,0.0,153.02,Credit Card
T000155,2024-01-03,2024-01-03 12:27:00,STORE_10,CUST_0549,P032,Electronics,1,1135.75,1135.75,0.0,1135.75,Cash
T000156,2024-01-03,2024-01-03 09:33:34,STORE_10,CUST_0427,P016,Home & Garden,3,70.74,212.22,0.0,212.22,Credit Card
T000157,2024-01-03,2024-01-03 13:50:04,STORE_08,CUST_0045,P025,Clothing,6,163.47,980.82,0.0,980.82,Cash
T000158,2024-01-03,2024-01-03 21:41:11,STORE_02,CUST_0791,P016,Home & Garden,1,76.7,76.7,13.19,66.58,Mobile Pay
T000159,2024-01-03,2024-01-03 15:02:18,STORE_08,CUST_0647,P045,Home & Garden,3,90.98,272.94,0.0,272.94,Debit Card
T000160,2024-01-03,2024-01-03 21:34:30,STORE_04,CUST_0908,P003,Clothing,8,138.58,1108.64,0.0,1108.64,Cash
T000161,2024-01-03,2024-01-03 09:51:23,STORE_04,CUST_0293,P003,Clothing,3,148.2,444.6,0.0,444.6,Mobile Pay
T000162,2024-01-03,2024-01-03 15:23:59,STORE_08,CUST_0917,P026,Electronics,1,1882.59,1882.59,0.0,1882.59,Cash
T000163,2024-01-03,2024-01-03 13:06:05,STORE_07,CUST_0081,P006,Electronics,5,508.26,2541.3,0.0,2541.3,Cash
T000164,2024-01-03,2024-01-03 13:28:02,STORE_05,CUST_0314,P043,Groceries,1,14.41,14.41,0.0,14.41,Cash
T000165,2024-01-03,2024-01-03 13:32:51,STORE_07,CUST_0282,P040,Home & Garden,1,160.19,160.19,14.56,136.86,Debit Card
T000166,2024-01-03,2024-01-03 11:49:41,STORE_03,CUST_0870,P002,Groceries,1,16.36,16.36,0.0,16.36,Cash
T000167,2024-01-03,2024-01-03 13:23:28,STORE_07,CUST_0973,P024,Electronics,3,189.59,568.77,0.0,568.77,Credit Card
T000168,2024-01-03,2024-01-03 09:01:47,STORE_03,CUST_0543,P037,Groceries,2,748.4855148912263,1496.9710297824527,0.0,1496.9710297824527,Debit Card
T000169,2024-01-03,2024-01-03 11:39:18,STORE_09,CUST_0397,P032,Electronics,2,1361.34,2722.68,0.0,2722.68,Mobile Pay
T000170,2024-01-03,2024-01-03 09:51:43,STORE_02,CUST_0139,P013,Groceries,3,18.73,56.19,0.0,56.19,Cash
T000171,2024-01-03,2024-01-03 19:45:59,STORE_06,CUST_0727,P043,Groceries,2,13.3,26.6,0.0,26.6,Debit Card
T000172,2024-01-03,2024-01-03 15:01:23,STORE_09,CUST_0230,P024,Electronics,1,172.9,172.9,0.0,172.9,Cash
T000173,2024-01-03,2024-01-03 19:46:30,STORE_09,CUST_0133,P030,Groceries,2,14.75,29.5,0.0,29.5,Mobile Pay
T000174,2024-01-03,2024-01-03 15:29:43,STORE_07,CUST_0844,P050,Clothing,2,202.51,405.02,0.0,405.02,Cash
T000175,2024-01-03,2024-01-03 22:55:03,STORE_09,CUST_0656,P009,Sports,1,142.83,142.83,0.0,142.83,Credit Card
T000176,2024-01-03,2024-01-03 16:57:18,STORE_03,CUST_0312,P034,Clothing,3,46.1,138.3,0.0,138.3,Credit Card
T000177,2024-01-03,2024-01-03 16:05:32,STORE_04,CUST_0651,P017,Groceries,3,35.11,105.33,0.0,105.33,Debit Card
T000178,2024-01-03,2024-01-03 22:36:02,STORE_10,CUST_0158,P038,Electronics,3,500.0,1500.0,0.0,1500.0,Credit Card
T000179,2024-01-03,2024-01-03 17:26:39,STORE_01,CUST_0972,P006,Electronics,3,529.99,1589.97,0.0,1589.97,Credit Card
T000180,2024-01-03,2024-01-03 18:25:19,STORE_09,CUST_0297,P032,Electronics,1,1293.04,1293.04,0.0,1293.04,Mobile Pay
T000181,2024-01-03,2024-01-03 10:20:55,STORE_01,CUST_0162,P005,Home & Garden,1,44.4,44.4,0.0,44.4,Cash
T000182,2024-01-03,2024-01-03 13:15:29,STORE_06,CUST_0999,P047,Sports,3,169.71,509.13,0.0,509.13,Credit Card
T000183,2024-01-03,2024-01-03 14:15:55,STORE_08,CUST_0254,P018,Electronics,2,1379.72,2759.44,0.0,2759.44,Debit Card
T000184,2024-01-03,2024-01-03 15:31:56,STORE_10,CUST_0739,P021,Groceries,2,40.73,81.46,0.0,81.46,Cash
T000185,2024-01-03,2024-01-03 13:03:03,STORE_01,CUST_0093,P032,Electronics,1,1369.31,1369.31,0.0,1369.31,Cash
T000186,2024-01-03,2024-01-03 21:06:27,STORE_10,CUST_0904,P032,Electronics,2,1343.57,2687.14,0.0,2687.14,Debit Card
T000187,2024-01-03,2024-01-03 11:23:35,STORE_06,CUST_0783,P017,Groceries,1,31.55,31.55,0.0,31.55,Cash
T000188,2024-01-03,2024-01-03 09:08:06,STORE_07,CUST_0517,P005,Home & Garden,3,44.49,133.47,0.0,133.47,Mobile Pay
T000189,2024-01-03,2024-01-03 14:32:02,STORE_06,CUST_0572,P024,Electronics,1,203.49,203.49,0.0,203.49,Credit Card
T000190,2024-01-04,2024-01-04 10:20:59,STORE_06,CUST_0824,P009,Sports,3,139.63,418.89,0.0,418.89,Cash
T000191,2024-01-04,2024-01-04 16:34:31,STORE_07,CUST_0632,P011,Electronics,2,1615.52,3231.04,0.0,3231.04,Cash
T000192,2024-01-04,2024-01-04 20:57:46,STORE_01,CUST_0378,P031,Groceries,2,35.35,70.7,0.0,70.7,Credit Card
T000193,2024-01-04,2024-01-04 19:03:37,STORE_08,CUST_0272,P039,Electronics,3,1781.82,5345.46,0.0,5345.46,Mobile Pay
T000194,2024-01-04,2024-01-04 18:15:02,STORE_09,CUST_0645,P011,Electronics,2,1609.93,3219.86,0.0,3219.86,Credit Card
T000195,2024-01-04,2024-01-04 16:49:39,STORE_01,CUST_0452,P013,Groceries,3,16.85,50.55,0.0,50.55,Mobile Pay
T000196,2024-01-04,2024-01-04 15:33:24,STORE_01,CUST_0723,P048,Sports,2,132.48,264.96,0.0,264.96,Cash
T000197,2024-01-04,2024-01-04 19:43:41,STORE_08,CUST_0935,P012,Clothing,3,146.64,439.92,0.0,439.92,Cash
T000198,2024-01-04,2024-01-04 12:49:18,STORE_08,CUST_0197,P040,Home & Garden,2,170.09,340.18,0.0,340.18,Debit Card
T000199,2024-01-04,2024-01-04 09:36:43,STORE_08,CUST_0325,P045,Home & Garden,3,96.76,290.28,0.0,290.28,Mobile Pay
